category,business_count,avg_rating,avg_reviews,saturation_score
cocktail bars,41,4.226829268292684,878.2926829268292683,36010.0000000000000003
breakfast & brunch,24,4.295833333333333,1092.5833333333333333,26221.9999999999999992
new american,23,4.213043478260869,739.6956521739130435,17013.0000000000000005
wine bars,21,4.157142857142857,722.7142857142857143,15177.0000000000000003
seafood,21,4.361904761904762,614.7619047619047619,12909.9999999999999999
bars,14,4.242857142857142,1057.8571428571428571,14809.9999999999999994
american,14,4.185714285714285,1215.8571428571428571,17021.9999999999999994
italian,14,4.178571428571428,746.6428571428571429,10453.0000000000000006
mexican,13,4.246153846153846,659.6153846153846154,8575.0000000000000002
new american,13,4.215384615384615,863.7692307692307692,11228.9999999999999996
american,12,4.208333333333333,1021.7500000000000000,12261.0000000000000000
sandwiches,11,4.418181818181818,2099.1818181818181818,23090.9999999999999998
seafood,10,4.279999999999999,863.8000000000000000,8638.0000000000000000
pizza,9,4.377777777777777,1338.3333333333333333,12044.9999999999999997
japanese,9,4.366666666666666,569.4444444444444444,5124.9999999999999996
japanese,8,4.5125,1092.8750000000000000,8743.0000000000000000
steakhouses,8,4.2,698.7500000000000000,5590.0000000000000000
barbeque,8,4.1875,3337.0000000000000000,26696.0000000000000000
sushi bars,8,4.387499999999999,576.1250000000000000,4609.0000000000000000
sushi bars,7,4.457142857142857,1423.4285714285714286,9964.0000000000000002
steakhouses,7,4.2857142857142865,863.2857142857142857,6042.9999999999999999
southern,6,4.166666666666666,2126.5000000000000000,12759.0000000000000000
desserts,6,4.3,637.3333333333333333,3823.9999999999999998
cocktail bars,6,4.2333333333333325,395.5000000000000000,2373.0000000000000000
noodles,6,4.233333333333333,713.1666666666666667,4279.0000000000000002
breakfast & brunch,5,4.299999999999999,1458.0000000000000000,7290.0000000000000000
ramen,5,4.2,1411.0000000000000000,7055.0000000000000000
southern,5,4.18,2263.0000000000000000,11315.0000000000000000
burgers,5,4.28,2003.6000000000000000,10018.0000000000000000
italian,5,4.38,530.0000000000000000,2650.0000000000000000
gastropubs,4,4.050000000000001,1685.2500000000000000,6741.0000000000000000
comfort food,4,4.25,1604.5000000000000000,6418.0000000000000000
thai,4,4.175000000000001,749.0000000000000000,2996.0000000000000000
lounges,4,4.3500000000000005,706.2500000000000000,2825.0000000000000000
asian fusion,4,4.199999999999999,1238.0000000000000000,4952.0000000000000000
salad,4,4.2,769.0000000000000000,3076.0000000000000000
pizza,3,4.2,996.6666666666666667,2990.0000000000000001
vietnamese,3,4.533333333333333,1869.0000000000000000,5607.0000000000000000
tapas/small plates,3,4.5,694.6666666666666667,2084.0000000000000001
mediterranean,3,4.3,924.3333333333333333,2772.9999999999999999
dim sum,3,4.166666666666667,1097.3333333333333333,3291.9999999999999999
tacos,3,4.566666666666666,705.0000000000000000,2115.0000000000000000
bars,2,4.15,500.0000000000000000,1000.0000000000000000
sports bars,2,4.1,1254.5000000000000000,2509.0000000000000000
chinese,2,4.35,361.5000000000000000,723.0000000000000000
cajun/creole,2,4.55,917.0000000000000000,1834.0000000000000000
venues & event spaces,2,4.35,707.5000000000000000,1415.0000000000000000
mediterranean,2,4.449999999999999,293.5000000000000000,587.0000000000000000
diners,2,4.55,1846.0000000000000000,3692.0000000000000000
wine bars,2,4.75,103.0000000000000000,206.0000000000000000
chicken wings,2,4.3,804.5000000000000000,1609.0000000000000000
coffee & tea,2,4.35,656.0000000000000000,1312.0000000000000000
french,2,3.95,1046.5000000000000000,2093.0000000000000000
beer bar,2,4.35,1075.0000000000000000,2150.0000000000000000
brewpubs,2,4.35,1255.0000000000000000,2510.0000000000000000
asian fusion,2,4.300000000000001,1535.0000000000000000,3070.0000000000000000
korean,2,4.199999999999999,338.0000000000000000,676.0000000000000000
wine & spirits,2,4.15,1959.0000000000000000,3918.0000000000000000
beer,2,4.15,1959.0000000000000000,3918.0000000000000000
middle eastern,2,4.300000000000001,469.5000000000000000,939.0000000000000000
chicken shop,2,4.199999999999999,1908.5000000000000000,3817.0000000000000000
gluten-free,2,4.45,2163.5000000000000000,4327.0000000000000000
ramen,2,4.15,1138.5000000000000000,2277.0000000000000000
greek,2,4.35,536.0000000000000000,1072.0000000000000000
greek,2,4.25,702.5000000000000000,1405.0000000000000000
caribbean,2,4.5,388.0000000000000000,776.0000000000000000
food trucks,2,4.6,922.0000000000000000,1844.0000000000000000
chinese,2,4.2,461.0000000000000000,922.0000000000000000
thai,1,4.7,3856.0000000000000000,3856.0000000000000000
polynesian,1,4.2,541.0000000000000000,541.0000000000000000
vegan,1,4.5,3056.0000000000000000,3056.0000000000000000
beer gardens,1,4.1,2913.0000000000000000,2913.0000000000000000
vegan,1,4.6,285.0000000000000000,285.0000000000000000
tex-mex,1,3.9,1565.0000000000000000,1565.0000000000000000
tapas/small plates,1,4,987.0000000000000000,987.0000000000000000
tiki bars,1,4.2,541.0000000000000000,541.0000000000000000
breweries,1,4.5,662.0000000000000000,662.0000000000000000
smokehouse,1,4.3,2497.0000000000000000,2497.0000000000000000
modern european,1,4.2,252.0000000000000000,252.0000000000000000
food stands,1,4.5,1205.0000000000000000,1205.0000000000000000
vietnamese,1,4.3,329.0000000000000000,329.0000000000000000
french,1,4.4,91.0000000000000000,91.0000000000000000
latin american,1,4.6,336.0000000000000000,336.0000000000000000
dim sum,1,4.7,3856.0000000000000000,3856.0000000000000000
japanese curry,1,4.1,848.0000000000000000,848.0000000000000000
coffee roasteries,1,4.5,662.0000000000000000,662.0000000000000000
soup,1,4.4,1276.0000000000000000,1276.0000000000000000
coffee & tea,1,4.5,1373.0000000000000000,1373.0000000000000000
ice cream & frozen yogurt,1,4.4,433.0000000000000000,433.0000000000000000
mexican,1,4.5,273.0000000000000000,273.0000000000000000
korean,1,4.6,382.0000000000000000,382.0000000000000000
bakeries,1,4.2,1590.0000000000000000,1590.0000000000000000
delis,1,4.5,1509.0000000000000000,1509.0000000000000000
vegetarian,1,4.5,771.0000000000000000,771.0000000000000000
juice bars & smoothies,1,4,2039.0000000000000000,2039.0000000000000000
music venues,1,3.8,2088.0000000000000000,2088.0000000000000000
pubs,1,3.9,620.0000000000000000,620.0000000000000000
butcher,1,4.3,784.0000000000000000,784.0000000000000000
venues & event spaces,1,3.9,385.0000000000000000,385.0000000000000000
australian,1,4.2,538.0000000000000000,538.0000000000000000
food trucks,1,4.8,361.0000000000000000,361.0000000000000000
whiskey bars,1,3.9,773.0000000000000000,773.0000000000000000
peruvian,1,4.8,361.0000000000000000,361.0000000000000000
barbeque,1,4.5,1162.0000000000000000,1162.0000000000000000
lounges,1,4,1473.0000000000000000,1473.0000000000000000
halal,1,4.2,712.0000000000000000,712.0000000000000000
smokehouse,1,4,1049.0000000000000000,1049.0000000000000000
vegetarian,1,4.5,3056.0000000000000000,3056.0000000000000000
izakaya,1,4,1049.0000000000000000,1049.0000000000000000
cafes,1,4.5,3056.0000000000000000,3056.0000000000000000
cantonese,1,4.2,1269.0000000000000000,1269.0000000000000000
halal,1,4.3,476.0000000000000000,476.0000000000000000
hot pot,1,4.5,392.0000000000000000,392.0000000000000000
cafes,1,4.3,879.0000000000000000,879.0000000000000000
diners,1,4.6,895.0000000000000000,895.0000000000000000
spanish,1,4.3,185.0000000000000000,185.0000000000000000
chicken wings,1,4.1,2115.0000000000000000,2115.0000000000000000
turkish,1,4.4,596.0000000000000000,596.0000000000000000
