review_count,price_level,latitude,longitude,search_category,ActualRating,PredictedRating,RatingDelta,business_id,name
2032,2.0,30.2416132,-97.7588755,restaurants,4.5,4.235287788579952,0.26471221142004797,KEh3efWSOIzd8BvuW-X4-g,Phoebe's Diner
1269,3.0,30.27281,-97.75799,restaurants,4.2,4.248239594124677,-0.048239594124677154,28RuK9yoG0k0LLGM7fqKQQ,Lin Asian Bar And Dim Sum
1373,2.0,30.26847,-97.72761,restaurants,4.5,4.28965567657675,0.21034432342325005,jmmzYxurOoA_K_RtanzQow,Paperboy East
596,2.0,30.315579427555196,-97.73323874109911,restaurants,4.4,4.299344315634541,0.10065568436545913,D0a-5tvB43JItaD0cvImhA,MezzeMe
511,2.0,30.361396,-97.739671,restaurants,4.3,4.307409750469393,-0.007409750469393295,M6_Jp6Xcf2z-j_Ay_GiHtA,Jack Allen's Kitchen Anderson Lane
857,3.0,30.2980839,-97.7475817,restaurants,4.1,4.272462824767968,-0.17246282476796804,08wLD2pUdZV73zHywMpREA,Musashino Sushi Dokoro
987,3.0,30.256941357994524,-97.73933237013148,restaurants,4.0,4.2687243962545995,-0.26872439625459954,U72ZAUh47P1cX-91jqLpJw,Emmer & Rye
93,,30.240681,-97.78596,restaurants,4.3,4.1965640716753585,0.10343592832464132,i_2XxgXPFjVxkXRnHjtu-A,Fig Italian Kitchen & Bar
227,,30.25345964298245,-97.7135189705522,restaurants,4.4,4.303992185398375,0.09600781460162544,aTvusfYoXUQ6Nem2-Vp4Zw,Ezov
629,2.0,30.2849835,-97.7168484,restaurants,4.6,4.31109477311122,0.2889052268887795,Unl62KlI0kwF8pToy7QjSA,Vic & Al's
285,3.0,30.2999,-97.74031,restaurants,4.6,4.283446547330207,0.31655345266979307,Bz-NZ-2Dx6pztO0nvfD3JA,Nori
223,2.0,30.26215,-97.75871,restaurants,4.2,4.243222521478849,-0.04322252147884864,fszy3S_lTDUt32f9gb2-pg,Carpenters Hall
406,2.0,30.262883,-97.741555,restaurants,4.1,4.267803114008671,-0.1678031140086711,4mtF2og-yXj7GbGgJNxq0w,Corinne Austin
1232,3.0,30.26566,-97.743238,restaurants,4.0,4.266459818179295,-0.2664598181792952,CqOkl94q9ttvYNWIITA8ow,Swift's Attic
433,2.0,30.36184,-97.71761,restaurants,4.4,4.338832961220823,0.061167038779177396,bQbO4RPTcS50EzoLx2Y2QQ,Sugar Pine
848,2.0,30.26326,-97.72624,restaurants,4.1,4.289643253678543,-0.1896432536785433,7ZU9DwctpN_tkC7EOd3C-Q,Ramen Tatsu-Ya
445,2.0,30.26629005721868,-97.7459750033982,restaurants,4.7,4.262818182995232,0.43718181700476855,GZfHsTQAabxdXB_z30h6kw,DeSano Pizzeria Napoletana
620,2.0,30.2985538576336,-97.7409893637848,restaurants,3.9,4.281979268517725,-0.38197926851772523,6e3UQmbqFLGWWDCI5VczCA,Hopfields
1049,3.0,30.25386,-97.7129,restaurants,4.0,4.305019276118554,-0.3050192761185544,yqL1P6wcSZYQAgpO3TfhBQ,Kemuri Tatsu-ya
224,,30.31812,-97.75281,restaurants,4.1,4.272567711718546,-0.17256771171854624,4T4iO_t5iz6SbHrphY2fGA,CARVE American Grille - Central Austin
944,2.0,30.31705799034052,-97.7195655116567,restaurants,3.8,4.319271371609242,-0.5192713716092419,u5XqU3ys3nXd1Ee0XYKLWg,Foreign & Domestic
3145,4.0,30.25753918349428,-97.75979576540756,restaurants,4.4,4.239955354352615,0.1600446456473854,zFaHweOJ40jjtvpGTjlspw,Uchi Austin
799,3.0,30.24735,-97.75074,restaurants,4.1,4.248965432237456,-0.14896543223745606,3gYruqSQnMtCmF2DiXcEOQ,Vespaio Ristorante
683,2.0,30.2984,-97.704748,restaurants,4.0,4.333269508262389,-0.3332695082623891,xyvGNML9BW-3seLMqeYCWA,Colleen's Kitchen
528,4.0,30.267721,-97.744204,restaurants,4.1,4.265863927689366,-0.1658639276893661,TSKMu1M0HAFoPvCZuJxx1w,Comedor
541,2.0,30.25382,-97.76331,restaurants,4.2,4.233581770740074,-0.0335817707400734,4h-O6wPWswMbVowT_lYn9g,Tiki Tatsu-Ya
1118,3.0,30.356725,-97.73124,restaurants,4.1,4.317603676575118,-0.21760367657511814,SRwJ6tNJ6r7hQ3uQ7hIBpQ,Bartlett's
2193,2.0,30.2649407,-97.7437486714698,restaurants,4.0,4.265466581810358,-0.2654665818103581,9e5lIroM6Eyd4aS26pWWEQ,Cooper's Old Time Pit Bar-B-Que
167,4.0,30.2474,-97.75006,restaurants,4.5,4.249947625519297,0.2500523744807026,CLcRsv9px0tbBkPkRN5qBQ,Otoko
386,,30.26563086253553,-97.74349112944728,restaurants,4.4,4.26609025119113,0.13390974880887008,yM7ZbF-hY2r-MO8PMSLB9w,Sushi Junai Omakase
1498,4.0,30.26588,-97.744672,restaurants,4.4,4.264510569633551,0.13548943036644978,XOo0oa5sXCZGjKXapIN95w,Red Ash
271,4.0,30.26954398783698,-97.74950906575312,restaurants,4.5,4.259031067087788,0.240968932912212,wKQNqpvphl0zGCv9JuIN8Q,J Carver’s
1802,2.0,30.284804,-97.713964,restaurants,4.7,4.315114180395074,0.38488581960492585,PrWSjn4a8o4dHoqKs53GBA,Bird Bird Biscuit
2039,2.0,30.357638653378597,-97.7331304745033,restaurants,4.0,4.315267764745645,-0.315267764745645,67bZm-KQQCwSat7_jmiVbA,Hopdoddy Burger Bar
879,2.0,30.2797094,-97.74192,restaurants,4.3,4.2735950076786136,0.026404992321386267,eZE0FdYB9rUvbuPS4fNyYA,Arturo's Underground Cafe
157,,30.31831,-97.75381,restaurants,4.2,4.271222119853046,-0.07122211985304538,T5UAsZOwDB6jc1X1AuiSaQ,VERDAD True Modern Mexican
416,2.0,30.26605435406326,-97.75015709999904,restaurants,4.1,4.256804477580681,-0.15680447758068095,6oIKOIJmrSxv1MjVzg_hXQ,The Peacock
1430,2.0,30.318791457399488,-97.73913049198538,restaurants,4.2,4.292201040232562,-0.09220104023256148,j3CWjH0XtesbbDZFVq3c7Q,Pinthouse Pizza
111,,30.319075,-97.739501,restaurants,4.6,4.29178240651421,0.30821759348578937,r7m-V0drTnK9o2Mg1FcxAQ,Gràcia Mediterranean
879,3.0,30.27296758753496,-97.75719738970636,restaurants,4.1,4.2494216770983355,-0.14942167709833587,r0LLzy0DYJz02Nc4XCg7rw,Clark's Oyster Bar - Austin
