city,category,weighted_opportunity_score
Austin,dim sum,90.616
Austin,thai,90.616
Austin,vegan,68.76
Austin,cafes,68.76
Austin,vegetarian,68.76
Austin,beer gardens,59.716499999999996
Austin,smokehouse,53.685500000000005
Austin,chicken wings,43.3575
Austin,juice bars & smoothies,40.78
Austin,music venues,39.672
Austin,delis,33.9525
Austin,bakeries,33.39
Austin,coffee & tea,30.892500000000002
Austin,tex-mex,30.517500000000002
Austin,lounges,29.46
Austin,soup,28.072000000000003
Austin,food stands,27.1125
Austin,cantonese,26.649
Austin,barbeque,26.145
Austin,gluten-free,24.068937500000004
Austin,diners,20.99825
Austin,smokehouse,20.98
Austin,izakaya,20.98
Austin,diners,20.585
Austin,wine & spirits,20.324625
Austin,beer,20.324625
Austin,chicken shop,20.03925
Austin,tapas/small plates,19.740000000000002
Austin,cafes,18.8985
Austin,japanese curry,17.384
Austin,vegetarian,17.3475
Austin,butcher,16.855999999999998
Austin,asian fusion,16.501250000000002
Austin,whiskey bars,15.0735
Austin,halal,14.952
Austin,coffee roasteries,14.895
Austin,breweries,14.895
Austin,vietnamese,14.121333333333332
Austin,brewpubs,13.648125
Austin,turkish,13.112
Austin,sports bars,12.858625
Austin,pubs,12.09
Austin,ramen,11.8119375
Austin,beer bar,11.690625
Austin,tiki bars,11.361000000000002
Austin,polynesian,11.361000000000002
Austin,australian,11.298
Austin,food trucks,10.603
Austin,cajun/creole,10.430874999999999
Austin,french,10.3341875
Austin,halal,10.234
Austin,ice cream & frozen yogurt,9.526
Austin,southern,9.45934
Austin,hot pot,8.82
Austin,korean,8.786
Austin,barbeque,8.7335546875
Austin,food trucks,8.664
Austin,peruvian,8.664
Austin,chicken wings,8.648375
Austin,burgers,8.575408
Austin,gastropubs,8.531578125000003
Austin,comfort food,8.52390625
Austin,latin american,7.728
Austin,venues & event spaces,7.694062499999999
Austin,dim sum,7.620370370370371
Austin,venues & event spaces,7.5075
Austin,greek,7.4640625
Austin,southern,7.383680555555555
Austin,coffee & tea,7.134
Austin,vietnamese,7.0735
Austin,pizza,6.976666666666667
Austin,mediterranean,6.624388888888888
Austin,vegan,6.555
Austin,asian fusion,6.499499999999999
Austin,breakfast & brunch,6.269399999999998
Austin,mexican,6.1425
Austin,ramen,5.926200000000001
Austin,greek,5.829
Austin,tacos,5.365833333333334
Austin,modern european,5.292000000000001
Austin,tapas/small plates,5.21
Austin,bars,5.1875
Austin,middle eastern,5.047125000000001
Austin,chinese,4.8405000000000005
Austin,sushi bars,4.531731778425656
Austin,caribbean,4.365
Austin,sandwiches,4.215712246431255
Austin,salad,4.03725
Austin,spanish,3.9775
Austin,chinese,3.9313124999999998
Austin,thai,3.908843750000001
Austin,lounges,3.8402343750000005
Austin,korean,3.5489999999999995
Austin,mediterranean,3.2651874999999997
Austin,pizza,3.254958847736625
Austin,japanese,3.0822490234375
Austin,steakhouses,2.6427113702623917
Austin,noodles,2.5158935185185185
Austin,italian,2.3214
Austin,desserts,2.283777777777778
Austin,french,2.0020000000000002
Austin,seafood,1.8485319999999996
Austin,steakhouses,1.83421875
Austin,american,1.817582361516035
Austin,american,1.7916102430555554
Austin,bars,1.6029774052478132
Austin,sushi bars,1.5798427734374998
Austin,new american,1.4004305871643146
Austin,cocktail bars,1.395236111111111
Austin,japanese,1.3814300411522633
Austin,wine bars,1.223125
Austin,italian,1.1142501822157431
Austin,mexican,1.0772416932180247
Austin,breakfast & brunch,0.9778241464120369
Austin,wine bars,0.7153396501457725
Austin,new american,0.6774717268020054
Austin,seafood,0.6384602094806178
Austin,cocktail bars,0.45273088028322284
